"Region","Total_land_ha","Low_avail_total_ha","High_avail_total_ha","Suitable_protected_total_ha","Unsuitable_protected_total_ha","Low_avail_total_percent_total","High_avail_total_percent_total","Suitable_protected_total_percent_total","Unsuitable_protected_total_percent_total","Percent_total_needed_for20percent_protected"
"Africa_Eastern",582459978.0592,388481070.95703,425177734.361241,36696663.4042104,2032055.2274059,66.6966118859321,72.9969011395365,6.30028925360442,0.348874653015107,13.3508360933805
"Africa_Northern",576372526.19,61298165.2911405,61862782.0869641,564616.795823581,17970284.7736505,10.635164326159,10.7331247198572,0.0979603936981299,3.11782466323293,16.7842149430689
"Africa_Southern",559406438.933154,461002237.095068,519564184.568789,58561947.4737209,12743764.4400359,82.4091760499302,92.8777626442148,10.4685865942846,2.27808683509965,7.25332657061578
"Africa_Western",1133485060.7665,786992324.75551,845373842.776403,58381518.0208929,25289845.7742718,69.4312039916362,74.5818248548184,5.15062086318221,2.2311582789781,12.6182208578397
"Argentina",276287985.618818,171643234.709767,178854782.590698,7211547.88093042,11466882.0697421,62.1247551989379,64.7349113607334,2.61015616179557,4.15033684655491,13.2395069916495
"Australia_NZ",793570088.843784,472193826.77134,577139743.239632,104945916.468293,47068462.5019506,59.5024728640311,72.7270031158198,13.2245302517887,5.93122941043915,0.84424033777217
"Brazil",844011796.565,702981128.51054,820023268.750118,117042140.239578,3177466.02447536,83.2904387558997,97.1577970932976,13.8673583373979,0.376471755182471,5.75616990741963
"Canada",912135615.4522,244059005.252835,262271077.91475,18212072.6619148,74805953.5200873,26.7568770606376,28.7535179497105,1.99664088907284,8.20118765815339,9.80217145277377
"Central America and Caribbean",71536074.2859499,57973220.8257476,67841735.0387893,9868514.21304163,799797.669432113,81.0405399016059,94.8356975357729,13.7951576341671,1.1180340512328,5.08680831460014
"Central Asia",562465738.055846,205058492.846942,212666854.024674,7608361.17773226,28928003.6471309,36.4570637770264,37.8097437116355,1.35267993460907,5.14306946892803,13.5042505964629
"China",929661075.943,534354150.594453,534785906.287406,431755.692953103,743491.326668015,57.4783826517025,57.5248249201943,0.046442268491789,0.0799744493888653,19.8735832821193
"Colombia",113776857.996872,90887019.7509203,103758269.351132,12871249.600212,2240797.82450993,79.8818154685015,91.1945286395453,11.3127131710438,1.96946713414387,6.71781969481232
"EU-12",107398747.349384,93690672.9262791,101647738.264228,7957065.33794925,909813.461880377,87.2362809051112,94.6451804819971,7.4088995768859,0.847136008877851,11.7439644142363
"EU-15",524276191.157983,243181106.075841,273814270.910997,30633164.8351569,96069494.5474436,46.3841597572303,52.2271038679473,5.84294411071703,18.3242146348955,-4.16715874561249
"Europe_Eastern",82544122.865664,76317258.015573,78777003.88707,2459745.871497,188792.736251022,92.4563195610851,95.4362359816643,2.97991642057921,0.228717357089459,16.7913662223313
"Europe_Non_EU",103371547.46,91749295.4386791,92496236.6114133,746941.172734235,293393.81952006,88.7568172220522,89.4793962982949,0.722579076242683,0.283824540436129,18.9935963833212
"European Free Trade Association",47125778.463018,21422941.036572,23805912.3118956,2382971.27532357,5758116.72837551,45.4590708849164,50.5156903255769,5.05661944066051,12.218613498118,2.72476706122148
"Global",13197896521.5768,7528399773.35366,8197718791.76532,669319018.411658,566834391.212831,57.042421578664,62.1138283541104,5.07140677544646,4.29488434225964,10.6337088822939
"India",314002431.682,280969323.012074,289488331.050253,8519008.03817907,3401647.7950914,89.4799831666972,92.1930220411244,2.71303887442711,1.08331893382799,16.2036421917449
"Indonesia",189353918.63031,159816538.262122,174943710.804155,15127172.5420329,2726860.10755459,84.4009669396618,92.3898021596853,7.98883522002352,1.44008644092465,10.5710783390518
"Japan",40427358.545156,26198470.1720417,31655674.4455949,5457204.27355317,4018046.32710637,64.8038138400235,78.3026039414288,13.4987901014053,9.93892866539461,-3.43771876679995
"Mexico",193865791.715462,160301277.979558,172283873.51632,11982595.5367621,6598053.39728654,82.6867270192943,88.8675985545619,6.18087153526759,3.4034129172054,10.415715547527
"Middle East",516222491.956528,189998073.563386,197419217.252902,7421143.68951606,23228500.8127291,36.8054620873409,38.2430483616989,1.43758627435804,4.49970723373387,14.0627064919081
"Pakistan",86887881.620441,63209597.0942595,65891264.1909929,2681667.09673343,939282.200011831,72.7484614832513,75.8348148926346,3.08635340938333,1.0810278516341,15.8326187389826
"Russia",1634875712.8749,483556678.91521,508105416.162445,24548737.2472353,96263743.7057301,29.5775804305567,31.079146393884,1.50156596332738,5.88813834272772,12.6102956939449
"South Africa",121959919.862,94171789.0066753,94252326.7308082,80537.7241328932,33403.2146708064,77.2153582203338,77.2813944429092,0.0660362225754356,0.0273886820429226,19.9065750953816
"South America_Northern",134994370.12824,84826099.2207631,116062888.403878,31236789.1831148,11447517.4632976,62.8367680372013,85.9760953687344,23.1393273315331,8.47999620459941,-11.6193235361325
"South America_Southern",392521293.189,284417734.686599,308554646.9447,24136912.258101,9029373.112663,72.4591861949388,78.6083843854378,6.14919819049894,2.30035243166167,11.5504493778394
"South Asia",102742484.56644,60013799.2176681,63006802.4119417,2993003.19427357,3286960.8725821,58.4118628928612,61.3249744522163,2.91311155935507,3.19922268422128,13.8876657564237
"South Korea",10410426.962166,7992910.19065364,8841013.89860029,848103.707946653,295965.446642662,76.7779287026536,84.9246042523584,8.14667554970479,2.84297126062429,9.01035318967092
"Southeast Asia",322495295.61295,275307855.92559,303433242.665612,28125386.7400222,1628372.28866381,85.3680223155895,94.0891996854999,8.72117736991039,0.504929005419707,10.7738936246699
"Taiwan",3545869.7037224,2253474.90346066,2503408.13608029,249933.232619628,429940.736374343,63.5521068666172,70.6006803761641,7.04857350954695,12.1251137886707,0.826312701782321
"USA",913705650.5211,620516852.059489,653961219.858297,33444367.798808,76526042.6833317,67.9121171797065,71.5724171657835,3.66029998607693,8.37534961501965,7.96435039890342
